factor,folder,nd,nbad,nmir_bad,ic,resid_mean,max_mirror_dev,lambda,lambda_short,lambda_long,ssm,gamma,share,share_ic,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,gsd1,gsd2,gsd3,gsd4,gsd5,gsd6,gsd7,gsd8,gsd9,gsd10
hm101/bid_post15_vol_vs_mkt_mean_mean,hm101,2417,0,0,-0.06537967265475471,-0.0010047642427824049,0.0,-1.0,-1.0,-0.9999999999999998,-1.0,-1.0,0.4502979525711416,0.5497020474288583,37.290343058258365,34.435625293985154,30.981806487509086,27.625322564397777,25.42873894203008,18.840507322081724,12.93763149731502,5.184035800567937,-7.558959702387396,-30.15284259041779,-0.014935110872967963,-0.008072048925067396,-0.003966851391275176,-0.001634080370482656,-0.000379797895072694,9.128491062554212e-05,-0.0005663837358673631,-0.0030713620801158244,-0.008947372807267396,-0.022893185244481362,430.8504859162936,476.4580844484619,509.6108978369771,527.996567087611,539.2817679680394,548.6262137967357,560.7075637017346,580.748738891646,613.3891624215203,729.7744155425446
hm101/bid_post15_vol_vs_mkt_mean_median,hm101,2417,0,0,-0.06772776511452173,-0.0009848004918739427,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.43784190339776846,0.5621580966022315,36.034020184801705,34.799591710625506,31.03261824283508,29.70756154550201,27.002468919126454,21.515380569171406,13.385564397507626,2.8934979463059425,-10.357619790214574,-30.99705828252779,-0.014326071420104013,-0.008201903226227982,-0.004210998445150324,-0.002011453451083305,-0.00047244012622439305,0.00021364181974334526,-0.0006262947046492542,-0.0035792616936551054,-0.009941666570713213,-0.02358651680458351,432.1051297687616,471.20104721494005,500.3789198038982,521.0098197834827,533.3227333751087,542.8883834439723,561.775504440543,588.651932476946,625.026692875016,736.6781752863168
hm101/bid_pre15_buy_rank_corr_post15_vol_vs_event_stk,hm101,2417,0,0,-0.015172849879874127,-5.906043717177127e-05,0.0,-0.2965999358424892,-1.0,0.9055284402467797,-1.0,-0.503030303030303,0.7860880743902657,0.21391192560973418,27.60082705136787,22.448506239033296,18.289125770609544,14.998025344432373,11.815184150493454,9.448140895248471,10.121702444345079,9.61997998308898,11.976083624727561,19.066357403260024,-0.008648992450641386,-0.0032151912388977332,-0.0006002411915158981,0.0003196041302500772,0.0002640511110510943,-0.0003648085928577203,-0.0011794869004823692,-0.0019372056354412485,-0.001668154241760715,0.0019166355675935148,471.84536511462903,517.7155049609323,551.680434227623,575.6970798228555,586.2010445787054,592.8218580086086,597.6692500165582,590.6675223393718,573.3547065927338,535.2564629325437
hm101/bid_pre15_buy_rank_std,hm101,2417,0,0,0.07279057249011654,0.0006635183652350537,0.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.5455633805336467,0.5455633805336467,-40.93101807873142,-14.843682967839774,3.4271131662388727,13.51136623586393,21.067019830859966,28.308151844643106,33.288103259117634,35.484046122398674,37.643278542387996,38.52433558869776,0.022315854263759274,0.01144482583577791,0.004443306543508981,0.0011953311013334416,-4.943826807584797e-05,0.00045558579976404253,0.0023509693352744745,0.0054562083803823234,0.009511554204026832,0.015002856929130273,736.7803905777683,649.574703409047,603.2993149837922,570.4524479994185,544.8188334905066,524.1460236200926,504.7298964966892,480.39268145976075,457.2589265945516,432.5313493640398
hm101/bid_pre15_buy_share_corr_vol_chg_vs_mkt,hm101,2417,0,0,-0.030124965205995224,-0.00023100933335205224,0.0,-0.7642055912727033,-0.9996772529302509,-0.5511602616814133,-0.9996772529302509,-0.9515151515151515,0.5744154900091715,0.42558450999082836,28.036834303302268,28.0384932384532,25.78398156301272,22.668700697119643,17.760057905214175,14.223281115986998,7.760443274299604,2.9183816027890725,2.374999850054353,5.8033880020056445,-0.008825993207562157,-0.00524914526202973,-0.002429843645013167,-0.0007218358548524814,5.5266658560652574e-05,-0.0002452128976810858,-0.0015337234731698467,-0.0033360925573817863,-0.004250291714347201,-0.0033570839191663744,461.7528706330206,491.60707768954313,520.9242294560603,545.5800046993539,568.5978198935641,587.8020902164008,602.3945546449879,608.5600541525462,600.3293364587967,588.6074173181431
hm101/bid_pre15_buy_share_mean,hm101,2417,0,0,-0.04737577085883134,-0.0006683021469071128,0.0,-0.9672269291516845,-0.8766203900423025,-1.0,-1.0,-0.9878787878787879,0.4407099833308706,0.5592900166691294,32.61783496519755,33.48890949100797,28.342717046845877,23.9959331999254,20.239749302037225,16.774719796528338,12.674131586455324,7.164524221980435,-1.4740712017237703,-18.797959579131735,-0.010078370262679208,-0.005954390165141135,-0.0030159695295297094,-0.001249322110551351,-0.0002863956895579479,0.00010383870420819553,-0.000340774816793731,-0.002090747397427036,-0.006518411408799075,-0.017276926035653374,485.2770978188024,516.5664074853069,525.137702341753,531.7437353090344,537.5305004263146,545.6305907955763,554.502244196185,570.2704374384164,599.0468372266644,680.9995064898249
hm101/bid_pre15_buy_vs_mkt_tot_p75,hm101,2417,0,0,0.046024991475058216,7.5634172453170665e-06,0.0,0.8144130439542079,0.7181871752321536,1.0,0.7181871752321536,0.9878787878787879,0.4787307401012911,0.4787307401012911,-8.907734015142434,-14.075589346319681,-2.060786649950269,9.066520289001534,17.432354838969054,23.808357637476163,27.739213361264483,31.026932285516978,34.67425372963355,36.44856559398057,0.005271107593978655,0.009878355120657512,0.00504646674273221,0.0016896414735646365,0.0001443864607416967,0.00020351241824419154,0.0013920532318604849,0.003727615166566056,0.007251028434801218,0.011413261414666295,583.2277542926815,656.9340045616555,624.5767452676239,592.5550256256287,563.1884858276752,544.3028377866069,525.0826807736274,506.4755863204635,489.29272840775354,474.43720265197373
hm101/bid_pre15_concentration_autocorr1,hm101,2417,0,0,-0.061833152872965716,-0.0009704818100795952,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4385797527918425,0.5614202472081574,36.35665215078723,33.8950706710895,30.561203926950807,28.232848529189955,24.857384599287872,21.023667778540343,16.788093201267554,10.96451828751558,-2.118282465137255,-45.19441872719335,-0.012868977660073944,-0.007863432324873446,-0.0039995452055267946,-0.0016286150058746637,-0.0003325650326629962,9.913075395338186e-05,-0.00044077931137513545,-0.002205391105654163,-0.007206722727618901,-0.02441577344317951,442.042847723083,464.7639803984437,494.1628204536658,521.2051972262581,540.7334271753742,560.3809272198763,580.6821123602615,598.9026982822861,631.338849956817,706.7298699172994
hm101/bid_pre15_imb_rank_corr_pre15_ret_vs_event_stk,hm101,2417,0,0,-0.028696717990835056,-0.00027937059954511037,0.0,-0.8597567519034754,-1.0,-0.7454069419799796,-1.0,-0.9878787878787879,0.5488923680411748,0.45110763195882514,30.973443634281804,27.299429120141095,25.519495961421576,20.432984809758967,18.851653174589224,15.521084751532795,11.219166944961444,5.188874670462013,-1.0178679054031043,1.3945795485992594,-0.009014174138610035,-0.004210865361131135,-0.001935724184456236,-0.00042282123980847433,-1.448017904797166e-05,-0.00016473265534668424,-0.000945322549065632,-0.0024829400845284796,-0.004594928949050969,-0.004631358050244348,477.67407432827014,513.926267552432,536.7204944580418,552.6823568548107,566.0469661153857,580.4233247098442,588.1773716451185,595.0399155782002,599.3627390578728,582.3540408294928
hm101/bid_pre15_imb_vs_mkt_mean_corr_post15_ret_vs_event_stk,hm101,2417,0,0,-0.03157604884936039,-0.0001996568263750756,0.0,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0,0.5397543644212759,0.460245635578724,32.634407217937785,29.91989323208203,26.353649340817743,23.89836495373843,19.955634523569,16.519346291728034,10.061561522107796,2.5750438093236174,-2.247268013781579,-4.311470108690158,-0.009398068954983045,-0.004859419217218127,-0.0020031024962177697,-0.0006472111950896453,-2.7742670690637122e-05,-0.00015011651872607072,-0.001089128383989318,-0.0028303482911011227,-0.0048142157086543645,-0.005557038586315201,478.8990157363458,511.87733269030826,536.3558489289022,556.4347584584943,570.0894692737891,582.633706629675,590.8639782569448,594.7588453201492,596.1217694198348,573.9861935103634
