factor,folder,nd,ic,lambda,lambda_short,lambda_long,ssm,gamma,share,share_ic,resid_mean,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,gsd1,gsd2,gsd3,gsd4,gsd5,gsd6,gsd7,gsd8,gsd9,gsd10
hm102/min_totimb_E2_dfa_alpha_mean,hm102,2429,0.05451726227238644,0.7184083025981823,0.596921818357418,1.0,0.596921818357418,0.9878787878787879,0.5161254434836986,0.5161254434836986,7.156925625098733e-05,-6.264145360285488,-9.445014904445578,-3.2658138976775963,0.5813033261174666,3.157006757252928,5.257816899970038,6.76865486135158,8.18939365736825,9.205986893167594,9.966184660741295,0.013188092628279361,0.00959006871167217,0.004061267620214873,0.0011964111289398715,6.496736462387981e-05,0.0002537223808436481,0.0015706412786730302,0.004100621665539149,0.00781990302623572,0.012599997211113625,353.55419411399004,282.265233379087,257.93793239468516,241.6911050109387,229.12136255259932,218.91124120282078,209.85481278407104,199.95681394646698,188.26892261447455,174.63327807061904
hm102/min_totimb_E2_dfa_alpha_period_ratio,hm102,2425,0.011012087941462254,-0.32079868981423165,-0.6147234976928039,0.40688689053623034,-0.6147234976928039,0.44242424242424244,0.37341446963340363,0.37341446963340363,-0.0002647675676863575,10.751677382313678,-2.4004927809675753,-1.9500800971646424,-0.8191691812706396,0.73764333057001,1.4245289946210655,3.0505953943058577,3.577361083105794,5.176128472681245,3.5945352068240086,-0.0012983331758383186,0.0028194432208601063,0.001808268367316304,0.0007601553290980756,0.00012140727764509004,-3.842426116157385e-05,0.0003379212041799303,0.0009511615656200698,0.00268991559142316,0.003125340390005773,293.8552770996374,241.97982088832356,245.6859549450333,243.9700292861552,241.40192682063824,237.97892382744175,233.5675477517363,228.17077361929893,221.43792325529296,224.0107473276152
hm102/min_totimb_E2_dfa_alpha_std,hm102,2429,0.05832394115341247,1.0,1.0,1.0,1.0,1.0,0.5274557942400703,0.5274557942400703,0.0002962689942663075,-8.172019986469785,-8.056431346512113,-2.43985694050574,0.44545657804764294,3.4496838495805346,5.1464447357378065,6.88228645531414,7.966914503184151,9.191669936712254,9.737473392865212,0.016379185424889073,0.009227166884864498,0.00375608418605485,0.0012156971092727896,2.8898301523547e-05,0.0002650040475762165,0.0017497617849604546,0.004388830918820639,0.008357801832579602,0.012659241668604321,366.0883290913257,280.7723379489824,256.05483313531516,240.48170507024386,227.69864947160173,216.87507678036678,206.61871588122577,195.17818811243964,184.13857182988957,173.69839955077063
hm102/min_totimb_E2_dfa_alpha_trend,hm102,2429,0.014770981918233499,-0.21365735287997772,-0.45141116151332394,0.36893044790065865,-0.45141116151332394,0.41818181818181815,0.4321364745467622,0.4321364745467622,-0.0002318240572798755,8.986059998994069,-3.5069128190940413,-1.7328442761076617,-0.5147077671608488,1.2150471804244396,1.8117180311189431,3.622277827343499,4.545691560869274,5.769577000820744,3.945025365555101,0.00021956214760003178,0.0035456793581096317,0.001839155736619227,0.000771824357615185,0.00010703808262337963,-1.161609481858512e-05,0.0004890814138443229,0.0013599586473002473,0.0030971844676045456,0.003584937859015405,295.0932244417145,245.08289020694448,246.57132891783894,243.98229816324883,243.12541398518513,237.80376939959075,232.1122593783298,227.30404876751385,220.59031895201298,222.5131404223173
hm102/min_totimb_F1_absD_mean_autocorr1,hm102,2429,-0.018417572326370438,-0.3487902328091846,-1.0,-0.072652021908085,-1.0,-0.9272727272727272,0.4547076542093154,0.5452923457906846,6.311288336378547e-05,6.91211173469483,5.530378558333191,4.7172799324964085,3.743255229254806,3.3426179750638965,2.254759132138305,0.939734836476213,-1.1333785252264912,-3.6358794574303857,1.456798945384231,-0.003912881403061547,-0.0024936395266156805,-0.001312683341680801,-0.0005557326580355818,-0.00012837209050543097,4.199630599111133e-05,-0.0002641335027365824,-0.0013196220441744908,-0.003462808672790847,-0.005072808276124379,235.43104730903525,232.62892449653714,232.6052927252083,232.59688225065588,232.46385993380164,233.03148929224784,233.8760612319948,235.86062225492697,242.11463759873527,302.4442456159421
hm102/min_totimb_F1_absD_mean_autocorr1_abs,hm102,2429,0.018417572326370438,0.3520132515335747,0.0744952288394251,1.0,0.0744952288394251,0.9272727272727272,0.5453292862826722,0.5453292862826722,-5.8399310988957426e-05,1.4322908522101434,-3.611293037686661,-1.13235435492847,0.9487172963830944,2.244221698503992,3.3508451207501704,3.753445007794384,4.697374110414499,5.544484099658813,6.912058358773341,0.0050945588536962785,0.0034433476429485805,0.001319216603752231,0.00025911309798347853,-4.0747772000512204e-05,0.00012957742951950422,0.0005605594114613336,0.0013065727920614314,0.0024971989971620404,0.003906574580774964,302.3213095935778,242.1124378758101,235.86013135428226,233.86110976454324,233.03755356321923,232.4718622235429,232.56919270064665,232.57499684703356,232.68920887621462,235.42588444549003
hm102/min_totimb_F1_absD_mean_curvature,hm102,2429,-0.021169489965288158,-0.8546779722899238,0.8692618251088962,-1.0,-1.0,-0.7090909090909091,0.24095786698390265,0.7590421330160972,-0.00032374945905388027,3.913747351020339,4.628914142490181,4.7871368815569415,4.96638327723331,4.892760792694594,4.419252848229711,3.1904243162293557,2.298490054162616,-0.506336676636643,-8.467923248430667,0.001226897785258033,-0.0023548016076922894,-0.002136510780519245,-0.0013625813878115798,-0.0003959491773170677,0.00032479693873106426,0.0004724514372998536,-0.0001749497723720469,-0.003104007891399056,-0.013341086050411937,240.97032556520864,221.2421129802872,218.9093422408654,220.71523730551536,224.2362508004776,229.24876282149054,235.34385911703825,245.25045637872816,261.6611968572398,312.4213074499162
hm102/min_totimb_F1_absD_mean_iqr,hm102,2426,-0.033152260932249815,-1.0,-1.0,-1.0,-1.0,-1.0,0.4549612560060962,0.5450387439939038,-0.0005407135584739546,15.926743242570549,6.16910541056028,4.707644285507808,3.542916027794492,2.9128032571046085,1.727252572614045,0.29737298383615873,-0.5228795622811215,-3.2428717367191364,-9.263736499780396,-0.008228590208450706,-0.003989480717584443,-0.0017717020024673811,-0.0006699190440653407,-0.00017729858090749845,7.22803660152378e-05,-0.00028570731110143027,-0.001367550229114183,-0.004556208037033015,-0.01163737160906709,268.4577256449959,219.34481509948077,224.41639080059952,227.72992366409184,229.56461667918418,230.33475892666888,232.96851962059162,239.48772245667345,251.602713183545,278.88388138016336
hm102/min_totimb_F1_absD_mean_period_diff,hm102,2429,0.01688954495636715,0.0029004147662847445,0.9999999999999998,-0.8518909927116555,-0.8518909927116555,0.44242424242424244,0.9120236123822643,0.9120236123822643,-0.00015466645524813655,-5.217180572235956,-0.44215364186755113,2.1708627436453662,3.909744514540688,5.188262204006696,5.828441245814035,6.551206663323092,6.782598667674706,4.508400155378073,-5.147773208579207,0.011957653428473249,0.003866878824380398,0.0005424987177241799,-0.00043832925796767597,-0.00038397845078171625,0.0005215824813704439,0.0019631115479362975,0.003395491835410169,0.002911050722727258,-0.007291748437657261,316.20381228159937,265.0137842045048,245.38701658167025,235.76105876307955,227.79499975898247,222.13333967235266,217.52719739399814,214.77889258628957,214.64439613918404,237.90825057400218
hm102/min_totimb_F1_absD_mean_period_ratio,hm102,2425,0.009760812583536341,-0.40085666346572774,0.20578344235676616,-0.9991670423784179,-0.9991670423784179,0.06666666666666667,1.0439665878180322,1.0439665878180322,-0.00027506365904428814,2.489544564409382,-0.20712810250176716,2.192156120355733,3.557467085687739,3.8869734620215994,4.568266708291983,4.5717986422385914,3.6912682952992326,2.2999307507119573,-3.9051343480687573,0.00860806816993814,0.002605682258261749,0.00013660973928980385,-0.0005734971564682511,-0.0002997435342904942,0.0004282540455080821,0.0013661564152822436,0.002020082600550978,0.0016092300038295165,-0.0058649662993211435,326.69055817608006,254.84786290695106,241.88860136135332,233.8362025575763,227.7487656935024,222.97245182479637,220.1859762177888,217.9893803885422,218.40414604406624,235.60766541286156
hm102/min_totimb_F1_absD_mean_quad_coef,hm102,2429,-0.02115836548164628,-0.8538376759900609,0.8880435478795988,-1.0,-1.0,-0.7090909090909091,0.24097643675265143,0.7590235632473488,-0.00031685670738931457,3.912281635298538,4.631306939345185,4.772911829599786,4.97108926828668,4.90830451620801,4.428392402368501,3.1754558797187733,2.2894935874533084,-0.5081789660717159,-8.458209252758998,0.0012272624476952492,-0.0023580386431312677,-0.002132392643673996,-0.0013615597779350584,-0.0003975839039244858,0.00032361005312564185,0.00047015535710294513,-0.0001706131442071169,-0.0031077956441482335,-0.013334552875160622,240.99530479735816,221.2268639780644,218.92478818332668,220.72809243398277,224.229151747598,229.28609196264813,235.32916130771503,245.24387309200816,261.6293204047391,312.414143537481
hm102/min_totimb_F2_posD_ratio_period_ratio,hm102,2425,-0.013463736744769092,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,0.6819503269906257,0.31804967300937437,-0.00018095793071116697,14.704529706233279,3.949492181382945,2.615673665223247,1.5002141019928084,1.3585726951771444,0.511247096617285,0.036203071182435285,-0.007745288137350805,-0.2804069511259777,-1.2525807091251158,-0.006874213176137627,-0.002101522855404904,-0.00037761052735554775,0.0001684046626523578,0.00012674654065477123,-0.0001836014592056428,-0.0007006294993610534,-0.0012005925524147473,-0.0019587288269393675,-0.00018103112054615374,284.58155992156316,224.68890606092302,234.6233096942529,238.23722655028936,241.39085666939908,240.82910873868062,241.05105193031727,240.61073060553946,237.9467442523163,230.61243988600688
hm102/min_totimb_F3_D_std_period_ratio,hm102,2425,0.009348384211002952,-0.4019508525596129,0.20442057353564835,-1.0,-1.0,0.030303030303030304,1.0396008706619184,1.0396008706619184,-0.0002991261460678423,2.669798207462047,-0.22824294577471532,2.34311458734601,3.3102882552193593,4.1590756195423255,4.507254821382857,4.086523379031696,3.637644848710561,2.3548736308900526,-3.6956898897945836,0.00818909938091387,0.002572287063701548,8.289826189045066e-05,-0.0005104112976694835,-0.0003043132419057039,0.00041628169811352956,0.0012116784804564185,0.0019548653835434263,0.0015628094429358105,-0.005527684814909066,324.70684379329464,254.77107234964157,242.0156975812144,234.50196683825777,228.5688721951659,223.71297869125394,220.85135005453117,218.41859666854282,218.8876888524465,234.95376323908934
hm102/min_totimb_F3_D_std_quad_coef,hm102,2429,-0.020939603203905106,-0.8921466713483823,0.4941641148023693,-1.0,-1.0,-0.7818181818181819,0.24764255504550964,0.7523574449544902,-0.00025842126685539325,4.124495309119162,4.717512555870991,4.867035858244194,4.747880878641751,4.6156554026163485,4.528868795845807,3.111480582493953,2.185795060155922,-0.6167344277393402,-8.159874353368044,0.0009710321861518904,-0.0023265621436341605,-0.002090675712843531,-0.0012887914473838661,-0.00038654361854236055,0.00031094052325444704,0.0004887149640768832,-0.0002163102093689165,-0.0030441884366412303,-0.013098798042118841,241.0217009920433,221.98152656546188,219.5014940759241,221.13174380822366,223.73426091147775,229.41912368422445,235.35628509243443,244.95757567943292,261.2233404517548,312.0849380647218
