factor,folder,nd,ic,lambda,lambda_short,lambda_long,ssm,gamma,share,share_ic,resid_mean,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,gsd1,gsd2,gsd3,gsd4,gsd5,gsd6,gsd7,gsd8,gsd9,gsd10
hm102/totimb_mid3h_mid60_D2_dr_skew,hm102,1207,-0.013370000417395281,-0.6876809560820956,-0.8377203657670821,-0.5764680505383561,-0.8377203657670821,-0.9757575757575757,0.509674349861786,0.49032565013821405,0.00011496075398229256,35.57052814546898,34.87754177246164,35.36605123581214,33.7810335142043,30.52695840545726,29.197820633865717,26.565863790095296,23.602349329884806,19.853223960476903,22.363731702553636,-0.0025175555277735895,-0.0022861659333309418,-0.0014082108159129104,-0.0006099654381296829,-5.1041102786167776e-05,-6.380926262900714e-05,-0.00056329570208016,-0.0015399733040568386,-0.002825263336439969,-0.0016196807482383075,636.3163843757615,594.2685735149264,593.8225378785767,593.7601082626653,594.9195414058139,600.2577427977441,601.4305393862699,599.8060857076222,591.3287120642289,577.0464507154775
hm103/SEG1_T180_BIN16_S3_TAU050_EARLY_INFO_SHARE16_RAW,hm103,432,0.015215733005862068,0.1114846761763695,-0.07613909640327107,0.6818640893182529,-0.07613909640327107,0.6363636363636364,0.03230773413070255,0.03230773413070255,0.00044929896250058856,82.33665854435937,96.27896066087631,37.466734599831625,54.6597911488244,74.01448204372082,82.304551703222,95.15794743973083,97.96098247918685,101.6800826099521,98.01507055035486,0.000503343023523999,-0.011195795272095839,0.006028109103489855,0.004457508172611222,0.0006839049976022403,-0.00022426006673470606,0.0007952966988975214,0.002483619849458243,0.005185150970856961,0.006049556565751965,696.2927314010213,627.9408393538793,784.2363953791473,723.7524281980947,682.6166625395904,654.5478538495432,639.5754162005517,624.1196544952152,618.2765057015578,626.7328832312945
hm103/SEG1_T180_BIN16_TARGET_KURT_RAW,hm103,354,0.034077656453546844,0.293377392467984,0.6975421930483634,-0.4949519149031962,-0.4949519149031962,0.806060606060606,0.6227237379933591,0.6227237379933591,0.00017821757423809443,54.98230932887472,48.367823885689546,58.65955011084698,74.60924937390223,85.49157426356115,85.97131290900981,88.2395169087883,89.71844232657297,91.74248826096084,74.65969971422746,0.007144036945296068,0.008929744232250868,0.004575776674314145,0.0007853395369835453,-0.00032491209404404535,0.0002840420473692337,0.004257421523638395,0.0016371223183916375,0.005912880489739101,0.0006979872053698425,678.4276266173915,703.2659104131312,705.24415833549,680.2954880990304,649.5997866473174,617.4422838806294,623.5030386185919,594.398686213968,609.8862215858273,681.8158117631007
hm103/SEG1_T180_LOGVOL_TARGET_MAX_SHARE_RAW,hm103,1207,0.04937078804473474,0.8422665473214098,1.0,0.0912312135346546,0.0912312135346546,0.9272727272727272,0.6057148143946176,0.6057148143946176,0.0005139550013076342,-22.945027879569757,9.435028372026002,20.631183667754865,27.246090954540026,33.35995033003421,40.66307744331452,44.32094605253627,47.117337132148045,47.95198905997288,41.88184069694366,0.019479214482699056,0.007175026684475929,0.002607198777096827,0.0005042734999693258,-0.00017240588543290979,0.0005258633393088533,0.0022624075418500806,0.004415204872036429,0.006525976048370872,0.005534073683052576,735.7158333527157,651.358941938729,616.5827752905983,594.419923601778,577.1622831711749,567.0223546646921,561.284046692004,557.8653308215007,560.6691980689991,594.161489389989
hm103/SEG1_T180_LOGVOL_TARGET_SKEW_RAW,hm103,366,0.02701065687994745,0.1530904373447724,-0.04182528267333586,0.7913086860685838,-0.04182528267333586,0.34545454545454546,0.40769148683565737,0.40769148683565737,0.0005007317188237425,65.98873361394104,61.89078753896445,39.39102399745542,22.827483844102616,62.523216886365184,49.12135312315339,43.954299782455266,59.089433665852106,75.85685550483564,88.30587032081533,-0.00014922706450609747,0.002076768719364745,0.005844521806699193,0.00376482579125567,-0.0007290184479729804,-2.8208138503783412e-05,-0.0022275262965368316,-0.00020078681223708445,0.004674619649867453,0.013483955953693423,703.2965020767157,709.3256704235272,717.4560649178698,709.0234039771799,632.6357973040805,663.4893013650178,666.4978566514645,632.069989588786,592.9277641658821,539.1863165513761
hm103/SEG1_T180_TOP10_TARGET_UNIQUE_RATIO_RAW,hm103,1207,0.044989325318482855,0.9677168016049242,1.0000000000000002,0.7592879162913878,0.7592879162913878,0.9878787878787879,0.6007213750517644,0.6007213750517644,0.0006875347484107708,-36.36095257046513,-3.074583787749344,9.630243464738495,16.13152265097452,20.453048832841883,26.425808978978814,28.611311394790103,31.759372959114582,34.98028979261941,33.809835040655024,0.018357057267882764,0.006221776348280804,0.002008314775428076,0.00017999464696779214,-0.00015411049005047898,0.0004598660609007357,0.0017838032443717022,0.003433273077172474,0.005206957981501144,0.006804857657617023,760.3779206779577,668.0444723390401,640.1321239070393,614.0552533817669,601.9131942488195,595.4715564904142,593.707706928821,601.1762487440238,612.1974564834022,616.3807482147885
hm103/SEG2_T180_LOGVOL_TARGET_GINI_RAW,hm103,1207,-0.056163493094543784,-0.4573159444119021,-0.0846421761933038,-0.5507485542963979,-0.5507485542963979,-0.9151515151515152,0.41683019806258426,0.583169801937416,7.864964639424257e-06,42.11477496987525,52.72529924348759,49.77958376234074,46.36735638771569,40.15248690784612,34.60067123826695,20.805160083006694,4.4488271542126645,-12.095917966603672,1.432071565673317,-0.005804518616263315,-0.008530352478201258,-0.00567346056826921,-0.0028402589469653738,-0.0005653276955544887,0.0002679450761531482,-0.0011068430574551263,-0.005416238422201898,-0.012811362536860663,-0.013690940813564959,568.6172428816817,537.421497784882,554.7753712778878,551.876317242936,567.5089487188892,585.1718570524046,618.7184476276099,653.5086822258337,693.5948639972335,712.4420976325424
hm103/SEG2_T180_LOGVOL_TARGET_KURT_RAW,hm103,201,0.01183430111192835,0.2250046864906209,1.0,-0.41481462320343065,-0.41481462320343065,0.296969696969697,0.8910162599262774,0.8910162599262774,-1.9206262809742734e-05,72.47548395056546,77.982275914156,88.58849434464362,98.38066007217142,101.8340377381508,96.91194229368507,88.96088445734257,96.18784909197002,96.60846841411954,86.06980650822489,0.005315747579996231,0.005028328753565355,0.0012720758568905,-0.0008472700536304517,-0.00020721432877395294,0.0010781687933953796,0.0010653604873567153,0.0013929022847043004,-0.00020809363062967496,-0.002036498368136313,661.8332162547414,694.964402837679,677.0773130318183,647.8608528996369,634.0231854883183,618.9008423727553,634.2170299776346,662.4818067819341,725.166009674361,733.5924202350583
hm103/SEG3_T180_BIN16_S2_PRICE_T2_GLOBAL_D4_FINAL_CORR_RAW,hm103,1207,0.06337386454505374,0.9994506946758173,0.9999999999999998,0.9937848071554266,0.9937848071554266,0.9878787878787879,0.5988876556329983,0.5988876556329983,0.0010961342768054396,-41.993941975072104,5.82079001052061,21.05327903228747,30.881985411401963,37.04846175288919,42.29424486517656,45.010736584204906,49.319633691271136,50.44055346600757,50.41515911113845,0.02631231571614181,0.008424428510233754,0.002708903040061482,0.0001361192205189421,-0.00028440260846059875,0.0005707764289043413,0.0022401366103125425,0.0047158334938978645,0.007348456632088253,0.010105163224549815,769.5338308408478,668.7858703386638,631.6700503919827,604.692023111205,583.8718270738926,569.8400417669444,557.5525937272146,552.9709685510919,547.1165649624,542.0804064937412
hm103/SEG3_T180_BIN16_S2_SIDE_EXACT_GLOBAL_GAIN_RAW,hm103,1207,0.022582749019532552,0.6928137305555503,0.3507247963363309,1.0,0.3507247963363309,0.9636363636363636,0.46127494406469616,0.46127494406469616,0.00023797697094403658,21.575581503765893,16.791862022648054,20.181123060142077,23.12406693951909,26.743710615359973,30.40431775425011,32.95516816617382,35.6612641449051,39.229950389396166,43.15354164917428,0.003942585962019463,0.003399999425136523,0.0019959454929908767,0.000854705937338717,0.00011384665936547081,4.040452679637457e-05,0.0004929238808932765,0.0013818770465508542,0.0034813369060469565,0.006641146211449998,703.8448083456831,640.514830415908,630.0194668603383,618.2639417809569,606.6580581685882,598.4538733647182,586.4428499923373,577.9905531396375,564.8256351128016,553.379352298948
