factor,ic,SSM_parquet,SSM_csv,spread,short_drop,long_rise,r1,r5,r6,r10
microcapm_large_trade_direction_v2_capm_abs_residual_mean_,-0.009885802158220495,1.0,1.0,-3.0118097728886957,-0.42204911119911026,-2.441208066562454,4.373386183931535,3.9513370727324246,3.802784477605293,1.361576411042839
microcapm_spread_bps_rolling_alpha_mean_corr_microcapm_mic,-0.01014365030447591,1.0,1.0,-3.2135895075735617,-1.1453552364870543,-1.612054210869068,5.3640886387483215,4.218733402261267,3.762553342043828,2.15049913117476
microcapm_book_imbalance10_innovation_capm_leverage_mean_c,-0.01743824776517533,1.0,1.0,-4.221078056302634,-1.175150428873108,-2.936335910139594,4.585424240537553,3.410273811664445,3.300682094374513,0.3643461842349191
microcapm_order_gap_signed_vw_capm_residual_zscore_mean_co,-0.014201787129836144,1.0,1.0,-4.213212061162891,-0.6428315715151927,-3.438646351667951,4.323366877875875,3.6805353063606825,3.548801168380935,0.11015481671298409
microcapm_large_trade_direction_v2_capm_abs_residual_mean_,-0.009745708455342268,1.0,0.9999999999999998,-5.160291345679384,-0.9537214890953396,-3.5717159944520778,4.732148568829885,3.7784270797345454,3.1435732176025786,-0.4281427768494991
microcapm_order_gap_magnitude_rolling_beta_mean_autocorr1_,-0.021377842993217447,1.0,1.0,-5.999353334407669,-1.9808808053606741,-3.1517227060892554,6.330344176559707,4.3494633711990325,3.4827135482412928,0.33099084215203745
microcapm_order_gap_signed_vw_rolling_alpha_mean_corr_micr,-0.015750963640324352,1.0,1.0,-4.183665084614491,-2.291722945210878,-1.8110751298384593,5.621111277723514,3.3293883325126363,3.2485213229474827,1.4374461931090234
microcapm_large_trade_direction_v2_rolling_residual_std_me,-0.007388378175575742,1.0,1.0,-3.719004295751289,-1.1574153168406331,-2.3540200032786864,4.518230979845586,3.360815663004953,3.153246687372983,0.7992266840942969
microcapm_active_buy_volume_ratio_capm_residual_rank_mean_,-0.006079324010654484,1.0,1.0,-4.641415473723848,-1.3969853921388515,-2.5051626683979205,4.844075600279639,3.447090208140787,2.707822794953711,0.20266012655579038
microcapm_book_imbalance10_innovation_rolling_corr_market_,0.011926139008550062,1.0,1.0,3.3182646476312616,1.9703267576879775,1.2524204039989688,1.6649002464886944,3.635227004176672,3.7307444901209874,4.983164894119956
microcapm_active_buy_volume_ratio_rolling_corr_market_mean,-0.015235642958815156,1.0,0.9999999999999999,-9.183738195859895,-1.8330352207428229,-6.906902670221008,5.834456320574429,4.001421099831606,3.5576207949355423,-3.349281875285466
microcapm_observable_ratio_innovation_rolling_residual_std,-0.016543971940574366,1.0,1.0,-2.369315039197095,-0.38439411745221896,-1.3190698975655053,4.396366086222273,4.011971968770054,3.3461209445906834,2.027051047025178
microcapm_observable_ratio_level_capm_abs_residual_mean_co,-0.010549016265126752,1.0,1.0,-2.5654948784269793,-0.7440474085315119,-1.5918467847367022,4.097057988393096,3.353010579861584,3.1234098947028186,1.5315631099661164
microcapm_book_imbalance10_level_rolling_residual_std_mean,-0.013244389884482196,1.0,1.0,-2.6867717773575635,-0.7844160394796349,-1.7536978663997669,4.922019063494291,4.137603024014656,3.9889451525364947,2.235247286136728
microcapm_order_gap_signed_vw_capm_cooks_distance_mean_cor,-0.014698387118474045,1.0,1.0,-4.067402169525403,-1.7653396068684262,-1.7781329970712143,5.286583688263399,3.5212440813949732,2.9973145158092107,1.2191815187379964
microcapm_large_trade_direction_v2_rolling_corr_market_mea,0.009373822247794903,1.0,1.0,3.5240708643844028,1.4250657112121665,2.0487437874423193,1.9141064116067006,3.339172122818867,3.389433488548784,5.438177275991103
microcapm_book_imbalance10_innovation_capm_residual_zscore,0.010318744792324822,1.0,1.0,4.103294356090693,1.562987098616968,2.2816621408080215,1.3101109097383081,2.873098008355276,3.131743125020979,5.413405265829001
microcapm_book_imbalance10_innovation_capm_residual_zscore,0.01165454979399761,1.0,1.0,4.378493722349882,1.6250433909965147,1.5233151985520843,1.3464898344262297,2.9715332254227445,4.201668358224027,5.724983556776111
microcapm_observable_ratio_innovation_capm_cooks_distance_,-0.008689541978697032,1.0,1.0,-4.470909224442137,-1.9221019557369075,-2.3637686414830346,5.541938874861145,3.619836919124238,3.434798291902043,1.0710296504190087
microcapm_spread_bps_rolling_residual_std_mean_corr_microc,-0.012677017501405291,1.0,1.0,-3.8435353398706797,-2.2270257624920915,-1.3713134496193873,5.244254419144688,3.017228656652596,2.772032528893395,1.4007190792740078
microcapm_book_imbalance10_level_rolling_residual_std_mean,-0.006349114994025192,1.0,1.0,-2.636690936877065,-1.837587887005581,-0.5769465103007021,4.814279975654694,2.976692088649113,2.754535549078331,2.177589038777629
microcapm_observable_ratio_innovation_capm_residual_zscore,-0.012422852583419117,1.0,1.0,-3.5306353338834975,-0.9643294539219207,-1.7515459132220932,5.368223490492548,4.403894036570628,3.589134069831144,1.8375881566090508
microcapm_book_imbalance10_innovation_capm_leverage_mean_c,-0.01765446736738964,1.0,1.0,-4.358061198811375,-1.1838175922170047,-2.7701194711738015,4.784170337412911,3.6003527451959068,3.1962286097753387,0.42610913860153715
